case_id,animal_type,pet_age,symptoms_text,predicted_illness,confidence_override,severity_override
1,dog,1,vomiting blood bloody stool lethargy loss of appetite fever not vaccinated puppy,Canine Parvovirus,0.92,critical
2,dog,2,bloody diarrhea vomiting lethargy sudden onset not vaccinated,Canine Parvovirus,0.89,critical
3,dog,0.5,puppy vomiting lethargy not eating fever bloody stool,Canine Parvovirus,0.91,critical
4,dog,3,lethargy loss of appetite vomiting diarrhea not vaccinated dog,Canine Parvovirus,0.85,critical
5,dog,1,vomiting bloody stool sudden onset puppy lethargy not vaccinated,Canine Parvovirus,0.93,critical
6,dog,4,coughing nasal discharge fever eye discharge seizures tremors hard paw pads not vaccinated,Canine Distemper,0.94,critical
7,dog,2,lethargy coughing nasal discharge neurological signs tremors hard paw pads,Canine Distemper,0.90,critical
8,dog,5,coughing nasal discharge fever neurological symptoms seizures young dog,Canine Distemper,0.87,critical
9,dog,1,coughing nasal discharge lethargy loss of appetite eye discharge tremors,Canine Distemper,0.88,critical
10,dog,3,seizures tremors neurological hard paw pads coughing fever,Canine Distemper,0.91,critical
11,dog,2,persistent cough harsh barking cough gagging nasal discharge sneezing kennel boarding,Infectious Tracheobronchitis,0.93,moderate
12,dog,5,harsh cough gagging nasal discharge low fever lethargy loss of appetite,Harsh Coughing kennel,0.88,moderate
13,dog,1,coughing nasal discharge low fever runcible nose recent kennel stay,Harsh Coughing kennel,0.86,moderate
14,dog,4,harsh barking cough gagging persistent cough lethargy recent boarding,Harsh Coughing kennel,0.90,moderate
15,dog,3,sneezing nasal discharge coughing low fever recent shelter exposure,Harsh Coughing kennel,0.84,moderate
16,dog,5,vomiting lethargy loss of appetite increased thirst increased urination jaundice yellow gums,Canine Leptospirosis,0.91,critical
17,dog,3,increased thirst increased urination vomiting lethargy bloody urine muscle pain,Canine Leptospirosis,0.89,critical
18,dog,4,vomiting jaundice yellow eyes lethargy increased urination kidney pain fever,Canine Leptospirosis,0.87,critical
19,dog,2,fever vomiting lethargy increased thirst jaundice muscle pain contact with rodents,Canine Leptospirosis,0.85,critical
20,dog,6,increased thirst increased urination jaundice lethargy vomiting muscle pain stagnant water area,Canine Leptospirosis,0.88,critical
21,dog,3,limping lameness joint swelling fever lethargy tick exposure tick bite,Canine Lyme Disease,0.92,moderate
22,dog,5,limping lameness stiffness warm joints reluctant to move swollen lymph nodes tick bite,Canine Lyme Disease,0.89,moderate
23,dog,4,joint swelling lameness fever lethargy loss of appetite recent tick exposure,Canine Lyme Disease,0.86,moderate
24,dog,2,limping lameness warm joints reluctance to exercise tick bite history,Canine Lyme Disease,0.84,moderate
25,dog,7,limping joint swelling stiffness lethargy tick exposure older dog,Canine Lyme Disease,0.83,moderate
26,dog,3,red skin moist sores itching scratching hair loss overnight sudden warm to touch,Hot Spot Dermatitis,0.91,moderate
27,dog,4,itching scratching red skin moist sores painful swollen overnight sudden,Hot Spot Dermatitis,0.89,moderate
28,dog,2,moist sores red skin scratching hair loss warm to touch painful swollen,Hot Spot Dermatitis,0.87,moderate
29,dog,5,scratching itching red skin hair loss warm area swollen painful,Hot Spot Dermatitis,0.85,moderate
30,dog,3,hair loss red skin moist sore overnight sudden hot humid weather,Hot Spot Dermatitis,0.84,moderate
31,dog,4,ear scratching head shaking ear odor discharge from ear red ear canal painful ear,Otitis Externa,0.94,moderate
32,dog,2,head shaking ear scratching brown discharge ear odor balance loss circling,Ear Infection,0.91,moderate
33,dog,5,ear odor discharge from ear ear scratching head shaking swollen ear painful,Ear Infection,0.89,moderate
34,dog,3,head shaking ear scratching red ear canal discharge smell balance issues,Ear Infection,0.86,moderate
35,dog,6,ear odor discharge head shaking ear scratching painful ear red canal,Ear Infection,0.84,moderate
36,dog,3,vomiting nausea loss of appetite lethargy drooling abdominal pain eating grass foam,Acute Gastritis,0.92,moderate
37,dog,4,vomiting retching lethargy loss of appetite drooling gurgling stomach,Gastritis,0.89,moderate
38,dog,2,vomiting foam nausea abdominal pain lethargy eating grass,Gastritis,0.87,moderate
39,dog,5,vomiting loss of appetite drooling lethargy retching bloody vomit,Gastritis,0.85,moderate
40,dog,1,vomiting nausea loss of appetite lethargy abdominal pain retching puppy,Gastritis,0.83,moderate
41,dog,4,difficulty standing limping reluctant to climb hip pain stiffness bunny hopping large breed,Canine Hip Dysplasia,0.91,moderate
42,dog,6,difficulty standing bunny hopping hip pain decreased activity stiffness weight gain,Canine Hip Dysplasia,0.88,moderate
43,dog,5,limping hip pain reluctant to climb stairs stiffness narrow stance large breed,Canine Hip Dysplasia,0.86,moderate
44,dog,7,limping difficulty standing hip pain stiffness older dog decreased activity,Canine Hip Dysplasia,0.84,moderate
45,dog,3,limping bunny hopping reluctance to exercise hip pain large breed young dog,Canine Hip Dysplasia,0.82,moderate
46,dog,3,intense itching scratching hair loss red bumps fleas flea dirt tail base back legs,Flea Allergy Dermatitis,0.93,moderate
47,dog,4,itching scratching hair loss scabs skin infection flea dirt tail base,Flea Allergy Dermatitis,0.90,moderate
48,dog,2,hair loss red bumps itching scratching flea evidence tail base leg base,Flea Allergy Dermatitis,0.88,moderate
49,dog,5,intense itching scratching hair loss scabs fleas skin infection,Flea Allergy Dermatitis,0.86,moderate
50,dog,1,hair loss itching scratching red bumps fleas flea dirt puppy,Flea Allergy Dermatitis,0.85,moderate
51,dog,5,vomiting severe abdominal pain hunched back lethargy diarrhea fever fatty food recently,Canine Pancreatitis,0.91,critical
52,dog,4,vomiting lethargy loss of appetite diarrhea severe abdominal pain hunched posture,Canine Pancreatitis,0.89,critical
53,dog,6,vomiting diarrhea fever swollen abdomen severe pain lethargy fatty treat,Canine Pancreatitis,0.87,critical
54,dog,3,vomiting lethargy severe abdominal pain loss of appetite diarrhea,Canine Pancreatitis,0.86,critical
55,dog,7,vomiting severe abdominal pain hunched back lethargy dehydration fatty meal,Canine Pancreatitis,0.84,critical
56,dog,2,circular lesion bald patches scaly skin itching red ring crusty skin,Canine Ringworm,0.91,low
57,dog,4,bald patches scaly skin red ring hair loss broken hair crusty patches,Canine Ringworm,0.88,low
58,dog,1,itching circular lesions scaly skin hair loss red patches spreading,Canine Ringworm,0.86,low
59,dog,3,circular lesion hair loss scaly skin crusty skin red ring spreading,Canine Ringworm,0.84,low
60,dog,5,bald patches scaly skin itching red lesions crusty hair loss,Canine Ringworm,0.82,low
61,dog,3,aggression drooling difficulty swallowing paralysis seizures fear of water not vaccinated,Canine Rabies,0.95,critical
62,dog,4,drooling aggression behavior change paralysis seizures bite from wild animal not vaccinated,Canine Rabies,0.93,critical
63,dog,2,drooling difficulty swallowing aggression paralysis seizures not vaccinated bite,Canine Rabies,0.91,critical
64,dog,3,aggression drooling confusion seizures paralysis fear of water,Canine Rabies,0.89,critical
65,dog,5,drooling aggression paralysis seizures behavioral change not vaccinated,Canine Rabies,0.87,critical
66,dog,4,itching scratching red skin paw licking face rubbing hot spots seasonal allergies,Allergic Dermatitis,0.90,low
67,dog,3,itching scratching red skin ear infections paw licking hot spots seasonal,Allergic Dermatitis,0.87,low
68,dog,5,paw licking face rubbing scratching itching skin irritation hot spots,Allergic Dermatitis,0.85,low
69,dog,2,red skin itching scratching hot spots seasonal pollen face rubbing,Allergic Dermatitis,0.83,low
70,dog,6,itching scratching skin irritation ear infections hot spots hair loss,Allergic Dermatitis,0.81,low
71,dog,2,weight loss pot belly scooting visible worms in stool bloated lethargy loss of appetite,Roundworm Infection,0.92,moderate
72,dog,1,visible worms in stool vomiting worms pot belly bloated puppy,Roundworm Infection,0.90,moderate
73,dog,3,weight loss scooting visible worms rice grains around anus bloated lethargy,Roundworm Infection,0.88,moderate
74,dog,4,bloated pot belly weight loss scooting visible worms lethargy puppy,Roundworm Infection,0.86,moderate
75,dog,2,vomiting worms in vomit weight loss bloated lethargy puppy,Roundworm Infection,0.84,moderate
76,dog,3,panting heavily excessive drooling red gums rapid heartbeat collapse hot day,Canine Heatstroke,0.94,critical
77,dog,5,vomiting collapse excessive drooling rapid heartbeat confusion shallow breathing hot day,Canine Heatstroke,0.92,critical
78,dog,2,panting heavily excessive drooling red gums collapse heat exercise,Canine Heatstroke,0.90,critical
79,dog,4,vomiting collapse excessive drooling rapid heartbeat confused hot weather car ride,Canine Heatstroke,0.88,critical
80,dog,6,panting heavily collapse excessive drooling rapid heartbeat confusion hot day,Canine Heatstroke,0.86,critical
81,cat,2,sneezing runny nose watery eyes congested loss of appetite lethargy shelter multiple cats,Feline URI,0.93,moderate
82,cat,1,sneezing nasal discharge eye discharge lethargy fever shelter,Feline URI,0.90,moderate
83,cat,3,sneezing congested watery eyes loss of appetite lethargy multiple cats,Feline URI,0.88,moderate
84,cat,4,sneezing runny nose watery eyes fever coughing,Feline URI,0.86,moderate
85,cat,2,sneezing eye discharge nasal discharge lethargy loss of appetite multi-cat home,Feline URI,0.84,moderate
86,cat,4,weight loss lethargy loss of appetite recurring infections gum inflammation anemia fever,FeLV,0.91,critical
87,cat,3,weight loss lethargy recurring infections swollen lymph nodes poor coat condition anemia,FeLV,0.88,critical
88,cat,5,weight loss recurring infections lethargy pale gums fever poor coat,FeLV,0.86,critical
89,cat,2,weight loss loss of appetite lethargy recurring infections anemia stray cat,FeLV,0.84,critical
90,cat,4,weight loss lethargy recurring infections fever swollen lymph nodes,FeLV,0.82,critical
91,cat,1,vomiting bloody diarrhea lethargy fever loss of appetite dehydration not vaccinated kitten,Feline Panleukopenia,0.94,critical
92,cat,2,vomiting diarrhea bloody stool lethargy fever dehydration not vaccinated,Feline Panleukopenia,0.91,critical
93,cat,0.5,vomiting bloody diarrhea sudden death kitten not vaccinated hiding,Feline Panleukopenia,0.89,critical
94,cat,3,vomiting diarrhea lethargy fever dehydration loss of appetite,Feline Panleukopenia,0.87,critical
95,cat,1,vomiting bloody diarrhea lethargy dehydration not vaccinated shelter kitten,Feline Panleukopenia,0.86,critical
96,cat,8,increased thirst increased urination weight loss increased appetite lethargy older cat cloudy eyes,Feline Diabetes,0.92,high
97,cat,9,increased thirst increased urination weight loss despite eating lethargy obesity older cat,Feline Diabetes,0.89,high
98,cat,7,weight loss increased appetite increased thirst increased urination lethargy older cat,Feline Diabetes,0.87,high
99,cat,10,increased thirst increased urination weight loss lethargy poor coat older cat,Feline Diabetes,0.85,high
100,cat,8,increased thirst increased urination weight loss lethargy vomiting older cat,Feline Diabetes,0.83,high
101,cat,4,straining to urinate blood in urine crying when urinating frequent urination male cat blocked,FLUTD,0.94,critical
102,cat,3,blood in urine straining to urinate crying when urinating licking genital area male cat,FLUTD,0.91,critical
103,cat,5,urinating outside litter box straining blood in urine crying frequent urination,FLUTD,0.89,critical
104,cat,2,straining to urinate blood in urine no urine production vomiting male cat,FLUTD,0.87,critical
105,cat,6,straining to urinate frequent urination blood in urine crying male cat,FLUTD,0.85,critical
106,cat,1,ear scratching head shaking dark discharge in ear coffee-ground ear wax ear odor red ears,Ear Mites,0.93,low
107,cat,2,ear scratching head shaking dark ear wax ear odor scabs around ears inner ear inflammation,Ear Mites,0.90,low
108,cat,3,head shaking ear scratching dark discharge ear odor red ears scabs,Ear Mites,0.88,low
109,cat,1,ear odor dark discharge ear scratching head shaking scabs around ears,Ear Mites,0.86,low
110,cat,2,head shaking ear scratching ear odor red ears inner ear inflammation,Ear Mites,0.84,low
111,cat,10,weight loss increased appetite hyperactivity vomiting diarrhea increased thirst older cat rapid heart rate,Hyperthyroidism,0.92,high
112,cat,11,weight loss despite eating increased appetite hyperactive matted fur vomiting diarrhea,Hyperthyroidism,0.89,high
113,cat,12,weight loss increased appetite hyperactivity poor coat unkempt appearance vomiting,Hyperthyroidism,0.87,high
114,cat,9,weight loss increased thirst increased urination hyperactive older cat poor coat,Hyperthyroidism,0.85,high
